,Hcluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
GO:0021782,C1,GO:0021782,glial cell development,4/87,122/18870,0.0024484668124173854,0.02639447223785941,0.01957484783190531,ADGRG6/C1QA/S100A8/S100A9,4,,
GO:0022612,C1,GO:0022612,gland morphogenesis,4/87,122/18870,0.0024484668124173854,0.02639447223785941,0.01957484783190531,FGL1/MMP2/NRP1/TNC,4,,
GO:0031638,C1,GO:0031638,zymogen activation,3/87,59/18870,0.0025542398032929836,0.027397716497013298,0.02031888065567972,ENO1/MASP1/PGK1,3,,
GO:0045446,C1,GO:0045446,endothelial cell differentiation,4/87,124/18870,0.002596993795081567,0.02771840902077158,0.020556714824017202,FSTL1/ICAM1/NRP1/VCL,4,,
GO:0002921,C1,GO:0002921,negative regulation of humoral immune response,2/87,17/18870,0.0027320456263198985,0.02845550903548648,0.021103367944978014,C4BPA/SERPING1,2,,
GO:0021535,C1,GO:0021535,cell migration in hindbrain,2/87,17/18870,0.0027320456263198985,0.02845550903548648,0.021103367944978014,FLNA/ITGB1,2,,
GO:0032488,C1,GO:0032488,Cdc42 protein signal transduction,2/87,17/18870,0.0027320456263198985,0.02845550903548648,0.021103367944978014,APOE/NRP1,2,,
GO:0033631,C1,GO:0033631,cell-cell adhesion mediated by integrin,2/87,17/18870,0.0027320456263198985,0.02845550903548648,0.021103367944978014,ITGB1/PODXL,2,,
GO:1900120,C1,GO:1900120,regulation of receptor binding,2/87,17/18870,0.0027320456263198985,0.02845550903548648,0.021103367944978014,ADIPOQ/NRP1,2,,
GO:1900024,C1,GO:1900024,regulation of substrate adhesion-dependent cell spreading,3/87,61/18870,0.0028090884413467052,0.029117282113189886,0.02159415659112169,FBLN1/FLNA/NRP1,3,,
GO:0097237,C1,GO:0097237,cellular response to toxic substance,4/87,128/18870,0.0029124037696562854,0.030043744150138524,0.02228124566158599,APOE/GSTO1/S100A9/SOD2,4,,
GO:1990266,C1,GO:1990266,neutrophil migration,4/87,129/18870,0.002995169129160765,0.030750403059383858,0.022805322843083724,LBP/S100A8/S100A9/SAA1,4,,
GO:0002693,C1,GO:0002693,positive regulation of cellular extravasation,2/87,18/18870,0.0030643673938553157,0.03117120319242826,0.023117399496776943,ICAM1/LYVE1,2,,
GO:0032757,C1,GO:0032757,positive regulation of interleukin-8 production,3/87,63/18870,0.003079080345756278,0.03117120319242826,0.023117399496776943,ADIPOQ/CD14/LBP,3,,
GO:0071621,C1,GO:0071621,granulocyte chemotaxis,4/87,130/18870,0.003079529814465315,0.03117120319242826,0.023117399496776943,LBP/S100A8/S100A9/SAA1,4,,
GO:0002064,C1,GO:0002064,epithelial cell development,5/87,214/18870,0.0031151626694578384,0.03138453605304252,0.023275612862304267,ADIPOQ/FLNA/ICAM1/PODXL/VCL,5,,
GO:0070372,C1,GO:0070372,regulation of ERK1 and ERK2 cascade,6/87,313/18870,0.003255074651279792,0.032641585805391775,0.024207874640362323,ADIPOQ/APOE/FBLN1/FLT4/ICAM1/NRP1,6,,
GO:0034764,C1,GO:0034764,positive regulation of transmembrane transport,5/87,217/18870,0.003306251559744955,0.03300128871671353,0.024474639957371282,ADIPOQ/FLNA/GSTO1/ITGB1/TMSB4X,5,,
GO:0019730,C1,GO:0019730,antimicrobial humoral response,4/87,133/18870,0.0033423333556070645,0.033055370250866196,0.0245147482721735,COLEC11/GAPDH/LYZ/S100A9,4,,
GO:0061041,C1,GO:0061041,regulation of wound healing,4/87,133/18870,0.0033423333556070645,0.033055370250866196,0.0245147482721735,APOE/GP1BA/ITGB1/SERPING1,4,,
GO:0040013,C1,GO:0040013,negative regulation of locomotion,7/87,423/18870,0.003392074117266749,0.033394117793731096,0.024765972526451293,ADIPOQ/APOE/CDH1/FBLN1/NRP1/TIMP1/VCL,7,,
GO:2001169,C1,GO:2001169,regulation of ATP biosynthetic process,2/87,19/18870,0.003414650986808684,0.0334635796707251,0.024817487315609527,ENO1/TMSB4X,2,,
GO:0010810,C1,GO:0010810,regulation of cell-substrate adhesion,5/87,220/18870,0.003505656198848333,0.03411803857667567,0.02530285157600349,FBLN1/FLNA/NID1/NRP1/VCL,5,,
GO:0050771,C1,GO:0050771,negative regulation of axonogenesis,3/87,66/18870,0.003513081894258812,0.03411803857667567,0.02530285157600349,CDH1/NRP1/SPP1,3,,
GO:0009620,C1,GO:0009620,response to fungus,3/87,67/18870,0.003665622073730143,0.03543982596844031,0.026283124522049037,GAPDH/S100A8/S100A9,3,,
GO:0030198,C1,GO:0030198,extracellular matrix organization,6/87,321/18870,0.0036830414127872707,0.03544927359807748,0.02629013113733019,CST3/FBLN1/ITGB1/MMP2/NID1/TGFBI,6,,
GO:0046034,C1,GO:0046034,ATP metabolic process,4/87,137/18870,0.0037159744032420326,0.035449738112344344,0.02629047563355682,ALDOA/ENO1/HSPA8/TMSB4X,4,,
GO:0051283,C1,GO:0051283,negative regulation of sequestering of calcium ion,4/87,137/18870,0.0037159744032420326,0.035449738112344344,0.02629047563355682,ANXA6/FLNA/GP1BA/GSTO1,4,,
GO:0043062,C1,GO:0043062,extracellular structure organization,6/87,322/18870,0.00373934360744424,0.035515527831056305,0.026339267051740327,CST3/FBLN1/ITGB1/MMP2/NID1/TGFBI,6,,
GO:0055093,C1,GO:0055093,response to hyperoxia,2/87,20/18870,0.0037827275881145254,0.0357414345534998,0.026506805530107508,MMP2/SOD2,2,,
GO:0045229,C1,GO:0045229,external encapsulating structure organization,6/87,323/18870,0.003796284096823494,0.0357414345534998,0.026506805530107508,CST3/FBLN1/ITGB1/MMP2/NID1/TGFBI,6,,
GO:0030193,C1,GO:0030193,regulation of blood coagulation,3/87,68/18870,0.0038221533756157573,0.03582853338185901,0.026571400354967214,APOE/GP1BA/SERPING1,3,,
GO:0009410,C1,GO:0009410,response to xenobiotic stimulus,7/87,434/18870,0.0039037208639901276,0.036364070866999124,0.02696856930327687,ADIPOQ/CDH1/GSTO1/HSPG2/IGFBP2/MMP2/SOD2,7,,
GO:0051282,C1,GO:0051282,regulation of sequestering of calcium ion,4/87,139/18870,0.003913016902200277,0.036364070866999124,0.02696856930327687,ANXA6/FLNA/GP1BA/GSTO1,4,,
GO:0032835,C1,GO:0032835,glomerulus development,3/87,69/18870,0.00398270753796411,0.03683251661697884,0.02731598122311828,ADIPOQ/NID1/PODXL,3,,
GO:0060485,C1,GO:0060485,mesenchyme development,6/87,327/18870,0.0040305172765020235,0.03683251661697884,0.02731598122311828,ANXA6/FLNA/LRG1/NRP1/OLFM1/VASN,6,,
GO:0048638,C1,GO:0048638,regulation of developmental growth,6/87,328/18870,0.004090715479228638,0.03683251661697884,0.02731598122311828,APOE/CDH1/MEGF8/NRP1/OLFM1/SPP1,6,,
GO:0048662,C1,GO:0048662,negative regulation of smooth muscle cell proliferation,3/87,70/18870,0.00414731561748871,0.03683251661697884,0.02731598122311828,ADIPOQ/APOE/SOD2,3,,
GO:1900046,C1,GO:1900046,regulation of hemostasis,3/87,70/18870,0.00414731561748871,0.03683251661697884,0.02731598122311828,APOE/GP1BA/SERPING1,3,,
GO:0007413,C1,GO:0007413,axonal fasciculation,2/87,21/18870,0.004168429524370518,0.03683251661697884,0.02731598122311828,MEGF8/NRP1,2,,
GO:0044794,C1,GO:0044794,positive regulation by host of viral process,2/87,21/18870,0.004168429524370518,0.03683251661697884,0.02731598122311828,APOE/HSPA8,2,,
GO:0045981,C1,GO:0045981,positive regulation of nucleotide metabolic process,2/87,21/18870,0.004168429524370518,0.03683251661697884,0.02731598122311828,ENO1/TMSB4X,2,,
GO:0061318,C1,GO:0061318,renal filtration cell differentiation,2/87,21/18870,0.004168429524370518,0.03683251661697884,0.02731598122311828,ADIPOQ/PODXL,2,,
GO:0072112,C1,GO:0072112,podocyte differentiation,2/87,21/18870,0.004168429524370518,0.03683251661697884,0.02731598122311828,ADIPOQ/PODXL,2,,
GO:0106030,C1,GO:0106030,neuron projection fasciculation,2/87,21/18870,0.004168429524370518,0.03683251661697884,0.02731598122311828,MEGF8/NRP1,2,,
GO:1900544,C1,GO:1900544,positive regulation of purine nucleotide metabolic process,2/87,21/18870,0.004168429524370518,0.03683251661697884,0.02731598122311828,ENO1/TMSB4X,2,,
GO:0048545,C1,GO:0048545,response to steroid hormone,6/87,330/18870,0.0042131107663553585,0.036999789414324406,0.02744003521158031,ADIPOQ/DSG2/HSPA8/IGFBP2/IGFBP7/SPP1,6,,
GO:0043393,C1,GO:0043393,regulation of protein binding,4/87,142/18870,0.004221682836699353,0.036999789414324406,0.02744003521158031,ADIPOQ/APOE/CFHR5/NRP1,4,,
GO:1902475,C1,GO:1902475,L-alpha-amino acid transmembrane transport,3/87,71/18870,0.004316007996358208,0.03747563006900545,0.027792931390889217,ITGB1/SLC38A10/SLC3A2,3,,
GO:0003158,C1,GO:0003158,endothelium development,4/87,143/18870,0.0043281223966523,0.03747563006900545,0.027792931390889217,FSTL1/ICAM1/NRP1/VCL,4,,
GO:0051208,C1,GO:0051208,sequestering of calcium ion,4/87,143/18870,0.0043281223966523,0.03747563006900545,0.027792931390889217,ANXA6/FLNA/GP1BA/GSTO1,4,,
GO:0014823,C1,GO:0014823,response to activity,3/87,72/18870,0.004488814388934234,0.038202901544854014,0.028332295404078334,ADIPOQ/MMP2/SOD2,3,,
GO:0050766,C1,GO:0050766,positive regulation of phagocytosis,3/87,72/18870,0.004488814388934234,0.038202901544854014,0.028332295404078334,C2/COLEC11/MBL2,3,,
GO:0070527,C1,GO:0070527,platelet aggregation,3/87,72/18870,0.004488814388934234,0.038202901544854014,0.028332295404078334,FGL1/FLNA/VCL,3,,
GO:0050921,C1,GO:0050921,positive regulation of chemotaxis,4/87,145/18870,0.004546412482134402,0.038202901544854014,0.028332295404078334,LBP/MEGF8/NRP1/TMSB4X,4,,
GO:0030449,C1,GO:0030449,regulation of complement activation,2/87,22/18870,0.004571590259078077,0.038202901544854014,0.028332295404078334,C4BPA/SERPING1,2,,
GO:0035313,C1,GO:0035313,"wound healing, spreading of epidermal cells",2/87,22/18870,0.004571590259078077,0.038202901544854014,0.028332295404078334,ITGB1/LRG1,2,,
GO:0051220,C1,GO:0051220,cytoplasmic sequestering of protein,2/87,22/18870,0.004571590259078077,0.038202901544854014,0.028332295404078334,FLNA/TMSB4X,2,,
GO:0072311,C1,GO:0072311,glomerular epithelial cell differentiation,2/87,22/18870,0.004571590259078077,0.038202901544854014,0.028332295404078334,ADIPOQ/PODXL,2,,
GO:0150105,C1,GO:0150105,protein localization to cell-cell junction,2/87,22/18870,0.004571590259078077,0.038202901544854014,0.028332295404078334,FLNA/VCL,2,,
GO:0070371,C1,GO:0070371,ERK1 and ERK2 cascade,6/87,336/18870,0.004596607162832043,0.038248619229178826,0.028366200863745063,ADIPOQ/APOE/FBLN1/FLT4/ICAM1/NRP1,6,,
GO:0035296,C1,GO:0035296,regulation of tube diameter,4/87,146/18870,0.004658290934752173,0.038248619229178826,0.028366200863745063,APOE/CRP/MMP2/SOD2,4,,
GO:0097746,C1,GO:0097746,blood vessel diameter maintenance,4/87,146/18870,0.004658290934752173,0.038248619229178826,0.028366200863745063,APOE/CRP/MMP2/SOD2,4,,
GO:0033344,C1,GO:0033344,cholesterol efflux,3/87,73/18870,0.004665763848457342,0.038248619229178826,0.028366200863745063,ADIPOQ/APOE/PLTP,3,,
GO:0050818,C1,GO:0050818,regulation of coagulation,3/87,73/18870,0.004665763848457342,0.038248619229178826,0.028366200863745063,APOE/GP1BA/SERPING1,3,,
GO:0002221,C1,GO:0002221,pattern recognition receptor signaling pathway,5/87,236/18870,0.004717902052728713,0.038529533430617824,0.028574534362419923,CD14/COLEC11/HSPA8/LBP/MBL2,5,,
GO:0035150,C1,GO:0035150,regulation of tube size,4/87,147/18870,0.0047720101472008706,0.038678398035207055,0.02868493634189997,APOE/CRP/MMP2/SOD2,4,,
GO:0062013,C1,GO:0062013,positive regulation of small molecule metabolic process,4/87,147/18870,0.0047720101472008706,0.038678398035207055,0.02868493634189997,ADIPOQ/APOE/ENO1/TMSB4X,4,,
GO:0010975,C1,GO:0010975,regulation of neuron projection development,7/87,453/18870,0.004923486427070211,0.039756691897990165,0.029484627962624296,APOE/CDH1/FLNA/MEGF8/NRP1/S100A9/SPP1,7,,
GO:0031290,C1,GO:0031290,retinal ganglion cell axon guidance,2/87,23/18870,0.004992044385919856,0.0400105862306439,0.029672922802630647,ALCAM/NRP1,2,,
GO:0035855,C1,GO:0035855,megakaryocyte development,2/87,23/18870,0.004992044385919856,0.0400105862306439,0.029672922802630647,FLNA/GP1BA,2,,
GO:0035924,C1,GO:0035924,cellular response to vascular endothelial growth factor stimulus,3/87,75/18870,0.005032204915457147,0.04003481106171811,0.029690888586441668,FLT4/NRP1/VCAM1,3,,
GO:0061045,C1,GO:0061045,negative regulation of wound healing,3/87,75/18870,0.005032204915457147,0.04003481106171811,0.029690888586441668,APOE/GP1BA/SERPING1,3,,
GO:0030595,C1,GO:0030595,leukocyte chemotaxis,5/87,240/18870,0.0050623844577509505,0.04008701532693308,0.02972960466829965,LBP/MMP2/S100A8/S100A9/SAA1,5,,
GO:0045089,C1,GO:0045089,positive regulation of innate immune response,6/87,343/18870,0.005075953239449318,0.04008701532693308,0.02972960466829965,CD14/COLEC11/HSPA8/LBP/MBL2/PVR,6,,
GO:0097529,C1,GO:0097529,myeloid leukocyte migration,5/87,242/18870,0.005241162960671356,0.04124068373433374,0.03058519607091737,LBP/MMP2/S100A8/S100A9/SAA1,5,,
GO:0051043,C1,GO:0051043,regulation of membrane protein ectodomain proteolysis,2/87,24/18870,0.005429627622073989,0.04241404765649102,0.0314553941950053,APOE/TIMP1,2,,
GO:1903578,C1,GO:1903578,regulation of ATP metabolic process,2/87,24/18870,0.005429627622073989,0.04241404765649102,0.0314553941950053,ENO1/TMSB4X,2,,
GO:0032368,C1,GO:0032368,regulation of lipid transport,4/87,153/18870,0.00549374647929243,0.042759990647489095,0.031711954786415364,ADIPOQ/APOE/PLTP/SPP1,4,,
GO:0045765,C1,GO:0045765,regulation of angiogenesis,6/87,349/18870,0.005515293187538136,0.042773280979612305,0.03172181125282253,HSPG2/ITGB1/LRG1/NRP1/PGK1/PKM,6,,
GO:0006936,C1,GO:0006936,muscle contraction,6/87,351/18870,0.005667758538876913,0.04379816275920654,0.03248189104151682,ALDOA/ANXA6/DSG2/ENO1/FLNA/GSTO1,6,,
GO:0097530,C1,GO:0097530,granulocyte migration,4/87,156/18870,0.005880561258189086,0.044807006765145325,0.033230076787547976,LBP/S100A8/S100A9/SAA1,4,,
GO:0006706,C1,GO:0006706,steroid catabolic process,2/87,25/18870,0.005884176801564736,0.044807006765145325,0.033230076787547976,APOE/SPP1,2,,
GO:0008045,C1,GO:0008045,motor neuron axon guidance,2/87,25/18870,0.005884176801564736,0.044807006765145325,0.033230076787547976,ALCAM/NRP1,2,,
GO:0072010,C1,GO:0072010,glomerular epithelium development,2/87,25/18870,0.005884176801564736,0.044807006765145325,0.033230076787547976,ADIPOQ/PODXL,2,,
GO:1901342,C1,GO:1901342,regulation of vasculature development,6/87,354/18870,0.0059022216703623715,0.044807006765145325,0.033230076787547976,HSPG2/ITGB1/LRG1/NRP1/PGK1/PKM,6,,
GO:0050770,C1,GO:0050770,regulation of axonogenesis,4/87,157/18870,0.006013431451955827,0.045243852447389765,0.03355405325045653,CDH1/MEGF8/NRP1/SPP1,4,,
GO:0032371,C1,GO:0032371,regulation of sterol transport,3/87,80/18870,0.00602272061799669,0.045243852447389765,0.03355405325045653,ADIPOQ/APOE/PLTP,3,,
GO:0032374,C1,GO:0032374,regulation of cholesterol transport,3/87,80/18870,0.00602272061799669,0.045243852447389765,0.03355405325045653,ADIPOQ/APOE/PLTP,3,,
GO:0010976,C1,GO:0010976,positive regulation of neuron projection development,4/87,158/18870,0.006148289210556266,0.045867513972177545,0.03401657734778718,APOE/FLNA/NRP1/S100A9,4,,
GO:0098754,C1,GO:0098754,detoxification,4/87,158/18870,0.006148289210556266,0.045867513972177545,0.03401657734778718,APOE/GSTO1/S100A9/SOD2,4,,
GO:0050810,C1,GO:0050810,regulation of steroid biosynthetic process,3/87,81/18870,0.006233783361104126,0.04634495491910516,0.03437066034670479,APOE/H6PD/IGFBP7,3,,
GO:0060343,C1,GO:0060343,trabecula formation,2/87,26/18870,0.006355529868649634,0.046926446564413055,0.03480191013150251,ADGRG6/MMP2,2,,
GO:0060740,C1,GO:0060740,prostate gland epithelium morphogenesis,2/87,26/18870,0.006355529868649634,0.046926446564413055,0.03480191013150251,MMP2/TNC,2,,
GO:0002758,C1,GO:0002758,innate immune response-activating signaling pathway,5/87,255/18870,0.006513941657853011,0.047931939298058335,0.035547610484205946,CD14/COLEC11/HSPA8/LBP/MBL2,5,,
GO:0009205,C1,GO:0009205,purine ribonucleoside triphosphate metabolic process,4/87,161/18870,0.0065649156732338265,0.04814271493704806,0.03570392734565766,ALDOA/ENO1/HSPA8/TMSB4X,4,,
GO:0035023,C1,GO:0035023,regulation of Rho protein signal transduction,3/87,83/18870,0.006669059266750001,0.048740650098688144,0.03614737208275916,APOE/ITGB1/NRP1,3,,
GO:0042176,C1,GO:0042176,regulation of protein catabolic process,6/87,364/18870,0.00673517628209333,0.04876144210130614,0.03616279198900695,APOE/C4BPA/CDH1/CST3/FLNA/TIMP1,6,,
GO:0009636,C1,GO:0009636,response to toxic substance,5/87,258/18870,0.006835948458020193,0.04876144210130614,0.03616279198900695,APOE/CDH1/GSTO1/S100A9/SOD2,5,,
GO:0031639,C1,GO:0031639,plasminogen activation,2/87,27/18870,0.006843525871242695,0.04876144210130614,0.03616279198900695,ENO1/PGK1,2,,
GO:0036296,C1,GO:0036296,response to increased oxygen levels,2/87,27/18870,0.006843525871242695,0.04876144210130614,0.03616279198900695,MMP2/SOD2,2,,
GO:0042730,C1,GO:0042730,fibrinolysis,2/87,27/18870,0.006843525871242695,0.04876144210130614,0.03616279198900695,GP1BA/SERPING1,2,,
GO:0060384,C1,GO:0060384,innervation,2/87,27/18870,0.006843525871242695,0.04876144210130614,0.03616279198900695,NRP1/VCAM1,2,,
GO:0150146,C1,GO:0150146,cell junction disassembly,2/87,27/18870,0.006843525871242695,0.04876144210130614,0.03616279198900695,C1QA/ITGB1,2,,
GO:0030307,C1,GO:0030307,positive regulation of cell growth,4/87,163/18870,0.006852837178430315,0.04876144210130614,0.03616279198900695,MEGF8/NRP1/S100A8/S100A9,4,,
HALLMARK_COAGULATION,C2,HALLMARK_COAGULATION,HALLMARK_COAGULATION,10/24,138/4383,9.31392109836743e-10,1.4902273757387888e-08,1.274536571355543e-08,C1R/C1S/C3/C8A/C8B/C8G/ITIH1/MASP2/PROS1/THBS1,10,,
HALLMARK_XENOBIOTIC_METABOLISM,C2,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,6/24,200/4383,0.0005651407817900697,0.004521126254320558,0.0038667527175110035,FETUB/ITIH1/ITIH4/LCAT/PROS1/PTGDS,6,,
hsa04610,C2,hsa04610,Complement and coagulation cascades,12/25,88/8843,2.0319279578919566e-18,1.686500205050324e-16,1.390266497505023e-16,C1QB/C1R/C1S/C3/C5/C8A/C8B/C8G/MASP2/PROS1/SERPIND1/SERPINF2,12,Organismal Systems,Immune system
hsa05322,C2,hsa05322,Systemic lupus erythematosus,8/25,139/8843,2.628763851724947e-09,1.090936998465853e-07,8.99313949274324e-08,C1QB/C1R/C1S/C3/C5/C8A/C8B/C8G,8,Human Diseases,Immune disease
hsa05171,C2,hsa05171,Coronavirus disease - COVID-19,9/25,238/8843,8.942962186934746e-09,2.4742195383852796e-07,2.039622954914942e-07,C1QB/C1R/C1S/C3/C5/C8A/C8B/C8G/MASP2,9,Human Diseases,Infectious disease: viral
hsa05150,C2,hsa05150,Staphylococcus aureus infection,6/25,100/8843,2.675909590003906e-07,5.552512399258105e-06,4.577213772375102e-06,C1QB/C1R/C1S/C3/C5/MASP2,6,Human Diseases,Infectious disease: bacterial
hsa05133,C2,hsa05133,Pertussis,5/25,78/8843,2.1706551785739987e-06,3.603287596432838e-05,2.9703702443644196e-05,C1QB/C1R/C1S/C3/C5,5,Human Diseases,Infectious disease: bacterial
hsa04810,C2,hsa04810,Regulation of actin cytoskeleton,5/25,230/8843,0.00039552764102866554,0.0054714657008965405,0.004510402924011099,ACTB/C5/C8A/C8B/C8G,5,Cellular Processes,Cell motility
hsa04936,C2,hsa04936,Alcoholic liver disease,4/25,144/8843,0.0006537625474140425,0.007751755919337933,0.006390160237881619,C1QB/C3/C5/CAMKK2,4,Human Diseases,Endocrine and metabolic disease
hsa04145,C2,hsa04145,Phagosome,4/25,157/8843,0.0009043416618811086,0.00865298456499969,0.007133088100507037,ACTB/C1R/C3/THBS1,4,Cellular Processes,Transport and catabolism
hsa05020,C2,hsa05020,Prion disease,5/25,278/8843,0.0009382754347590026,0.00865298456499969,0.007133088100507037,C1QB/C5/C8A/C8B/C8G,5,Human Diseases,Neurodegenerative disease
hsa05146,C2,hsa05146,Amoebiasis,3/25,103/8843,0.0029298628856893796,0.02431786195122185,0.02004643027050628,C8A/C8B/C8G,3,Human Diseases,Infectious disease: parasitic
R-HSA-166658,C2,R-HSA-166658,Complement cascade,12/35,58/11009,1.0350561167866953e-19,1.9045032548875193e-17,1.601613149133097e-17,C1QB/C1R/C1S/C3/C5/C8A/C8B/C8G/CPN2/FCN2/MASP2/PROS1,12,,
R-HSA-977606,C2,R-HSA-977606,Regulation of Complement cascade,10/35,47/11009,1.2268019761462304e-16,1.128657818054532e-14,9.491573183868205e-15,C1QB/C1R/C1S/C3/C5/C8A/C8B/C8G/CPN2/PROS1,10,,
R-HSA-166663,C2,R-HSA-166663,Initial triggering of complement,6/35,23/11009,6.385421163932783e-11,3.916391647212107e-09,3.2935330213969092e-09,C1QB/C1R/C1S/C3/FCN2/MASP2,6,,
R-HSA-166786,C2,R-HSA-166786,Creation of C4 and C2 activators,5/35,14/11009,4.729347327091981e-10,2.1754997704623112e-08,1.8295106765329506e-08,C1QB/C1R/C1S/FCN2/MASP2,5,,
R-HSA-8963899,C2,R-HSA-8963899,Plasma lipoprotein remodeling,3/35,34/11009,0.00016465306048729173,0.006059232625932335,0.005095578924554081,APOB/APOF/LCAT,3,,
R-HSA-8957275,C2,R-HSA-8957275,Post-translational protein phosphorylation,4/35,108/11009,0.00036287610729537206,0.011128200623724743,0.009358383819722753,APOB/C3/SERPINA10/SERPIND1,4,,
R-HSA-381426,C2,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),4/35,125/11009,0.000631593587947384,0.01635440111001513,0.013753415121122563,APOB/C3/SERPINA10/SERPIND1,4,,
R-HSA-114608,C2,R-HSA-114608,Platelet degranulation,4/35,129/11009,0.0007110609178267447,0.01635440111001513,0.013753415121122563,ITIH4/PROS1/SERPINF2/THBS1,4,,
R-HSA-76005,C2,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,4/35,134/11009,0.0008200680221537788,0.016765835119588363,0.014099415117731636,ITIH4/PROS1/SERPINF2/THBS1,4,,
R-HSA-174824,C2,R-HSA-174824,"Plasma lipoprotein assembly, remodeling, and clearance",3/35,75/11009,0.0016995068284140495,0.03127092564281851,0.026297631976512137,APOB/APOF/LCAT,3,,
R-HSA-140875,C2,R-HSA-140875,Common Pathway of Fibrin Clot Formation,2/35,22/11009,0.0021794897726622143,0.036456919833622495,0.030658851347497178,PROS1/SERPIND1,2,,
R-HSA-140837,C2,R-HSA-140837,Intrinsic Pathway of Fibrin Clot Formation,2/35,23/11009,0.0023823066908670574,0.03652870259329488,0.03071921785591732,PROS1/SERPIND1,2,,
GO:0006958,C2,GO:0006958,"complement activation, classical pathway",10/41,42/18870,9.992492937336315e-19,7.979694703661463e-16,5.99143019955742e-16,C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/MASP2,10,,
GO:0006956,C2,GO:0006956,complement activation,11/41,67/18870,1.386567281261766e-18,7.979694703661463e-16,5.99143019955742e-16,C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/FCN2/MASP2,11,,
GO:0002455,C2,GO:0002455,humoral immune response mediated by circulating immunoglobulin,10/41,55/18870,1.9479686924273416e-17,7.473706549946235e-15,5.6115168297643774e-15,C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/MASP2,10,,
GO:0006959,C2,GO:0006959,humoral immune response,11/41,258/18870,5.5470145596984835e-12,1.5961534395532386e-09,1.1984470930295934e-09,C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/FCN2/MASP2,11,,
GO:0016064,C2,GO:0016064,immunoglobulin mediated immune response,10/41,205/18870,1.536653355078515e-11,3.4044842545679167e-09,2.556204282774941e-09,C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/MASP2,10,,
GO:0019724,C2,GO:0019724,B cell mediated immunity,10/41,208/18870,1.774709428966768e-11,3.4044842545679167e-09,2.556204282774941e-09,C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/MASP2,10,,
GO:0002443,C2,GO:0002443,leukocyte mediated immunity,12/41,466/18870,1.8438975283551297e-10,3.031894364481077e-08,2.2764509335030996e-08,B2M/C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/MASP2/PTGDS,12,,
GO:0002449,C2,GO:0002449,lymphocyte mediated immunity,11/41,368/18870,2.502487383894532e-10,3.600453723578258e-08,2.7033449239176457e-08,B2M/C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/MASP2,11,,
GO:0006957,C2,GO:0006957,"complement activation, alternative pathway",5/41,18/18870,3.156156323780496e-10,4.036373254079279e-08,3.030648353010278e-08,C3/C5/C8A/C8B/C8G,5,,
GO:0002460,C2,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,11/41,380/18870,3.5159495042895927e-10,4.046857879437321e-08,3.0385205716018476e-08,B2M/C1QB/C1R/C1RL/C1S/C3/C5/C8A/C8B/C8G/MASP2,11,,
GO:0031638,C2,GO:0031638,zymogen activation,4/41,59/18870,8.005537162620296e-06,0.0006836035656174191,0.0005132731513758298,C1R/C1RL/SERPINF2/THBS1,4,,
GO:0001906,C2,GO:0001906,cell killing,6/41,223/18870,8.105101858678775e-06,0.0006836035656174191,0.0005132731513758298,B2M/C3/C5/C8A/C8B/C8G,6,,
GO:0010951,C2,GO:0010951,negative regulation of endopeptidase activity,5/41,128/18870,8.180659513068492e-06,0.0006836035656174191,0.0005132731513758298,FETUB/SERPINA10/SERPIND1/SERPINF2/THBS1,5,,
GO:0007596,C2,GO:0007596,blood coagulation,6/41,224/18870,8.314900016197974e-06,0.0006836035656174191,0.0005132731513758298,ACTB/PROS1/SERPINA10/SERPIND1/SERPINF2/THBS1,6,,
GO:0050817,C2,GO:0050817,coagulation,6/41,229/18870,9.431099180949915e-06,0.0007129201696849276,0.0005352850695608629,ACTB/PROS1/SERPINA10/SERPIND1/SERPINF2/THBS1,6,,
GO:0007599,C2,GO:0007599,hemostasis,6/41,231/18870,9.910271689799168e-06,0.0007129201696849276,0.0005352850695608629,ACTB/PROS1/SERPINA10/SERPIND1/SERPINF2/THBS1,6,,
GO:0010466,C2,GO:0010466,negative regulation of peptidase activity,5/41,137/18870,1.1386822407279522e-05,0.0007709548582811017,0.0005788595168034977,FETUB/SERPINA10/SERPIND1/SERPINF2/THBS1,5,,
GO:0042730,C2,GO:0042730,fibrinolysis,3/41,27/18870,2.6856018457230795e-05,0.001717293180237369,0.00128940299142611,PROS1/SERPINF2/THBS1,3,,
