,Tumor type,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
GO:0042330,discovery_tumor_PAAD,GO:0042330,taxis,5/32,470/18870,0.0010841092719530636,0.014534414137540226,0.00918736671146664,CCL18/DPP4/S100A8/S100A9/THBS4,5.0,,
GO:0031349,discovery_tumor_PAAD,GO:0031349,positive regulation of defense response,5/32,480/18870,0.0011906408383625488,0.015696615052412936,0.009922006986354573,C3/CD14/MBL2/S100A8/S100A9,5.0,,
GO:0032372,discovery_tumor_PAAD,GO:0032372,negative regulation of sterol transport,2/32,31/18870,0.0012563309779775132,0.016028351670648595,0.010131701435302527,APOC2/PCSK9,2.0,,
GO:0032375,discovery_tumor_PAAD,GO:0032375,negative regulation of cholesterol transport,2/32,31/18870,0.0012563309779775132,0.016028351670648595,0.010131701435302527,APOC2/PCSK9,2.0,,
GO:0097237,discovery_tumor_PAAD,GO:0097237,cellular response to toxic substance,3/32,128/18870,0.0013096052137652385,0.01644282101727466,0.010393692172739988,PRDX1/S100A9/TXN,3.0,,
GO:0006639,discovery_tumor_PAAD,GO:0006639,acylglycerol metabolic process,3/32,134/18870,0.0014938083954449198,0.018288948773547458,0.011560650299334677,APOC2/C3/PCSK9,3.0,,
GO:0090022,discovery_tumor_PAAD,GO:0090022,regulation of neutrophil chemotaxis,2/32,34/18870,0.0015109012380609568,0.018288948773547458,0.011560650299334677,DPP4/THBS4,2.0,,
GO:0006638,discovery_tumor_PAAD,GO:0006638,neutral lipid metabolic process,3/32,135/18870,0.0015260058395121772,0.018288948773547458,0.011560650299334677,APOC2/C3/PCSK9,3.0,,
GO:1903725,discovery_tumor_PAAD,GO:1903725,regulation of phospholipid metabolic process,2/32,35/18870,0.001600777489904697,0.018898731261412168,0.011946100670930574,ADGRF5/APOC2,2.0,,
GO:0006882,discovery_tumor_PAAD,GO:0006882,intracellular zinc ion homeostasis,2/32,36/18870,0.0016931497974942194,0.019409876664027936,0.012269201431117533,S100A8/S100A9,2.0,,
GO:0010984,discovery_tumor_PAAD,GO:0010984,regulation of lipoprotein particle clearance,2/32,36/18870,0.0016931497974942194,0.019409876664027936,0.012269201431117533,APOC2/PCSK9,2.0,,
GO:0048261,discovery_tumor_PAAD,GO:0048261,negative regulation of receptor-mediated endocytosis,2/32,37/18870,0.0017880099734508953,0.02020451269999512,0.012771499810363537,APOC2/PCSK9,2.0,,
GO:0050729,discovery_tumor_PAAD,GO:0050729,positive regulation of inflammatory response,3/32,152/18870,0.002141438646624297,0.023857436189856605,0.01508055384946688,C3/S100A8/S100A9,3.0,,
GO:0045454,discovery_tumor_PAAD,GO:0045454,cell redox homeostasis,2/32,41/18870,0.0021921662808131025,0.02408279316869943,0.015223004531415571,PRDX1/TXN,2.0,,
GO:0008037,discovery_tumor_PAAD,GO:0008037,cell recognition,3/32,154/18870,0.0022225586615866734,0.02408279316869943,0.015223004531415571,C4BPA/C4BPB/MBL2,3.0,,
GO:0098754,discovery_tumor_PAAD,GO:0098754,detoxification,3/32,158/18870,0.0023904869124323058,0.02540649995323278,0.016059734483712253,PRDX1/S100A9/TXN,3.0,,
GO:0014002,discovery_tumor_PAAD,GO:0014002,astrocyte development,2/32,43/18870,0.0024089601725568377,0.02540649995323278,0.016059734483712253,S100A8/S100A9,2.0,,
GO:0006509,discovery_tumor_PAAD,GO:0006509,membrane protein ectodomain proteolysis,2/32,44/18870,0.0025210077794620895,0.02589762537083783,0.016370180386117466,ERAP1/TIMP2,2.0,,
GO:0090207,discovery_tumor_PAAD,GO:0090207,regulation of triglyceride metabolic process,2/32,44/18870,0.0025210077794620895,0.02589762537083783,0.016370180386117466,APOC2/C3,2.0,,
GO:0045765,discovery_tumor_PAAD,GO:0045765,regulation of angiogenesis,4/32,349/18870,0.002747345444455683,0.027445892311401175,0.01734885733969733,C3/ERAP1/LRG1/THBS4,4.0,,
GO:1902622,discovery_tumor_PAAD,GO:1902622,regulation of neutrophil migration,2/32,46/18870,0.0027523641368004054,0.027445892311401175,0.01734885733969733,DPP4/THBS4,2.0,,
GO:0051235,discovery_tumor_PAAD,GO:0051235,maintenance of location,4/32,350/18870,0.002775817174351573,0.027445892311401175,0.01734885733969733,C3/S100A8/S100A9/TXN,4.0,,
GO:0001881,discovery_tumor_PAAD,GO:0001881,receptor recycling,2/32,47/18870,0.0028716568721656958,0.02785575053178362,0.01760793333235374,EPS15/PCSK9,2.0,,
GO:1901342,discovery_tumor_PAAD,GO:1901342,regulation of vasculature development,4/32,354/18870,0.002891738742343767,0.02785575053178362,0.01760793333235374,C3/ERAP1/LRG1/THBS4,4.0,,
GO:0006953,discovery_tumor_PAAD,GO:0006953,acute-phase response,2/32,48/18870,0.0029933486665001357,0.02785575053178362,0.01760793333235374,F8/MBL2,2.0,,
GO:0032369,discovery_tumor_PAAD,GO:0032369,negative regulation of lipid transport,2/32,48/18870,0.0029933486665001357,0.02785575053178362,0.01760793333235374,APOC2/PCSK9,2.0,,
GO:0043277,discovery_tumor_PAAD,GO:0043277,apoptotic cell clearance,2/32,48/18870,0.0029933486665001357,0.02785575053178362,0.01760793333235374,C3/MFGE8,2.0,,
GO:0042176,discovery_tumor_PAAD,GO:0042176,regulation of protein catabolic process,4/32,364/18870,0.0031960395699047323,0.029396131392960965,0.01858162540642286,C4BPA/C4BPB/PCSK9/TIMP2,4.0,,
GO:2000649,discovery_tumor_PAAD,GO:2000649,regulation of sodium ion transmembrane transporter activity,2/32,50/18870,0.0032438976076587835,0.02949336790411607,0.01864308969918841,PCSK9/YWHAH,2.0,,
GO:0010043,discovery_tumor_PAAD,GO:0010043,response to zinc ion,2/32,51/18870,0.0033727388888383,0.030316323421262444,0.019163289141126704,LTA4H/S100A8,2.0,,
GO:1905952,discovery_tumor_PAAD,GO:1905952,regulation of lipid localization,3/32,183/18870,0.00361876561968117,0.03161840437518964,0.01998634916257247,APOC2/C3/PCSK9,3.0,,
GO:0048260,discovery_tumor_PAAD,GO:0048260,positive regulation of receptor-mediated endocytosis,2/32,53/18870,0.003637515547588189,0.03161840437518964,0.01998634916257247,C3/PCSK9,2.0,,
GO:0071622,discovery_tumor_PAAD,GO:0071622,regulation of granulocyte chemotaxis,2/32,53/18870,0.003637515547588189,0.03161840437518964,0.01998634916257247,DPP4/THBS4,2.0,,
GO:0045766,discovery_tumor_PAAD,GO:0045766,positive regulation of angiogenesis,3/32,185/18870,0.0037308255157852683,0.03173207508587255,0.02005820169777026,C3/ERAP1/LRG1,3.0,,
GO:1904018,discovery_tumor_PAAD,GO:1904018,positive regulation of vasculature development,3/32,185/18870,0.0037308255157852683,0.03173207508587255,0.02005820169777026,C3/ERAP1/LRG1,3.0,,
GO:0042743,discovery_tumor_PAAD,GO:0042743,hydrogen peroxide metabolic process,2/32,54/18870,0.00377343517079986,0.03175305553300733,0.02007146367446734,PRDX1/TXN,2.0,,
GO:0002706,discovery_tumor_PAAD,GO:0002706,regulation of lymphocyte mediated immunity,3/32,188/18870,0.0039028709458369484,0.032230765912125585,0.020373429780104663,C3/C4BPA/C4BPB,3.0,,
GO:0034381,discovery_tumor_PAAD,GO:0034381,plasma lipoprotein particle clearance,2/32,55/18870,0.003911698517780096,0.032230765912125585,0.020373429780104663,APOC2/PCSK9,2.0,,
GO:0046890,discovery_tumor_PAAD,GO:0046890,regulation of lipid biosynthetic process,3/32,189/18870,0.0039612804404402955,0.032302812663796636,0.02041897134247575,ADGRF5/APOC2/C3,3.0,,
GO:0002697,discovery_tumor_PAAD,GO:0002697,regulation of immune effector process,4/32,389/18870,0.004051479018828608,0.03237744975917137,0.02046615029024739,C3/C4BPA/C4BPB/MBL2,4.0,,
GO:0050832,discovery_tumor_PAAD,GO:0050832,defense response to fungus,2/32,56/18870,0.004052297757468983,0.03237744975917137,0.02046615029024739,S100A8/S100A9,2.0,,
GO:0002822,discovery_tumor_PAAD,GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,3/32,193/18870,0.0042002640510347645,0.033224088643684986,0.021001320255173823,C3/C4BPA/C4BPB,3.0,,
GO:0002707,discovery_tumor_PAAD,GO:0002707,negative regulation of lymphocyte mediated immunity,2/32,58/18870,0.004340472682603513,0.033993206850884944,0.021487488527740167,C4BPA/C4BPB,2.0,,
GO:0002823,discovery_tumor_PAAD,GO:0002823,negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,2/32,59/18870,0.0044880327976896,0.0344663489608978,0.021786566979075727,C4BPA/C4BPB,2.0,,
GO:0033619,discovery_tumor_PAAD,GO:0033619,membrane protein proteolysis,2/32,59/18870,0.0044880327976896,0.0344663489608978,0.021786566979075727,ERAP1/TIMP2,2.0,,
GO:0032387,discovery_tumor_PAAD,GO:0032387,negative regulation of intracellular transport,2/32,60/18870,0.004637897664691922,0.03493882907401248,0.02208522697472344,PCSK9/TXN,2.0,,
GO:1902305,discovery_tumor_PAAD,GO:1902305,regulation of sodium ion transmembrane transport,2/32,60/18870,0.004637897664691922,0.03493882907401248,0.02208522697472344,PCSK9/YWHAH,2.0,,
GO:0002819,discovery_tumor_PAAD,GO:0002819,regulation of adaptive immune response,3/32,208/18870,0.0051740111508103955,0.0382071896654554,0.024151194478796083,C3/C4BPA/C4BPB,3.0,,
GO:0002820,discovery_tumor_PAAD,GO:0002820,negative regulation of adaptive immune response,2/32,64/18870,0.005260250134229228,0.0382071896654554,0.024151194478796083,C4BPA/C4BPB,2.0,,
GO:2001244,discovery_tumor_PAAD,GO:2001244,positive regulation of intrinsic apoptotic signaling pathway,2/32,64/18870,0.005260250134229228,0.0382071896654554,0.024151194478796083,S100A8/S100A9,2.0,,
GO:0007159,discovery_tumor_PAAD,GO:0007159,leukocyte cell-cell adhesion,4/32,419/18870,0.005269073779598041,0.0382071896654554,0.024151194478796083,DPP4/LRG1/S100A8/S100A9,4.0,,
GO:0045732,discovery_tumor_PAAD,GO:0045732,positive regulation of protein catabolic process,3/32,210/18870,0.005313262785335138,0.0382071896654554,0.024151194478796083,C4BPA/C4BPB/PCSK9,3.0,,
GO:1905953,discovery_tumor_PAAD,GO:1905953,negative regulation of lipid localization,2/32,66/18870,0.005585054515698495,0.03979980290015774,0.025157903223867094,APOC2/PCSK9,2.0,,
GO:0009620,discovery_tumor_PAAD,GO:0009620,response to fungus,2/32,67/18870,0.005750836956128809,0.04061528600265971,0.02567337926843219,S100A8/S100A9,2.0,,
GO:0006919,discovery_tumor_PAAD,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,2/32,68/18870,0.005918862739837784,0.04143203917886449,0.026189658140875153,S100A8/S100A9,2.0,,
GO:0002704,discovery_tumor_PAAD,GO:0002704,negative regulation of leukocyte mediated immunity,2/32,69/18870,0.006089124271876592,0.0422499763074946,0.026706685402967507,C4BPA/C4BPB,2.0,,
GO:0002752,discovery_tumor_PAAD,GO:0002752,cell surface pattern recognition receptor signaling pathway,2/32,70/18870,0.006261613975205209,0.0430690143859767,0.027224408587848734,CD14/MBL2,2.0,,
GO:0050766,discovery_tumor_PAAD,GO:0050766,positive regulation of phagocytosis,2/32,72/18870,0.006613247676900602,0.04509550786576186,0.028505377917675007,C3/MBL2,2.0,,
GO:0043112,discovery_tumor_PAAD,GO:0043112,receptor metabolic process,2/32,73/18870,0.00679237661040869,0.04553194829519724,0.028781256823765634,EPS15/PCSK9,2.0,,
GO:0140962,discovery_tumor_PAAD,GO:0140962,multicellular organismal-level chemical homeostasis,2/32,73/18870,0.00679237661040869,0.04553194829519724,0.028781256823765634,ADGRF5/MBL2,2.0,,
GO:0045806,discovery_tumor_PAAD,GO:0045806,negative regulation of endocytosis,2/32,75/18870,0.0071572211138947505,0.047574469757065106,0.03007235762140651,APOC2/PCSK9,2.0,,
GO:0051651,discovery_tumor_PAAD,GO:0051651,maintenance of location in cell,3/32,237/18870,0.007417348811634308,0.048892690916689484,0.030905620048476287,S100A8/S100A9/TXN,3.0,,
hsa04142,discovery_tumor_RCC,hsa04142,Lysosome,4/10,132/8843,9.293086089588905e-06,0.00040889578794191185,0.00032281246416466727,CTSL/HEXA/IGF2R/LAMP2,4.0,Cellular Processes,Transport and catabolism
hsa05205,discovery_tumor_RCC,hsa05205,Proteoglycans in cancer,3/10,204/8843,0.0012879160253202024,0.028334152557044454,0.02236906780819299,CTSL/CTTN/FGFR1,3.0,Human Diseases,Cancer: overview
R-HSA-1236977,discovery_tumor_RCC,R-HSA-1236977,Endosomal/Vacuolar pathway,2/10,11/11009,4.06681570992351e-05,0.007198263806564613,0.0038955813642425202,B2M/CTSL,2.0,,
GO:0006898,discovery_tumor_RCC,GO:0006898,receptor-mediated endocytosis,4/12,258/18870,1.5503115605550656e-05,0.008092626346097443,0.005548483479881287,B2M/CTSL/CTTN/IGF2R,4.0,,
GO:0019886,discovery_tumor_RCC,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,2/12,31/18870,0.00017063005911403947,0.02978630300074578,0.020422147651247356,B2M/CTSL,2.0,,
GO:0002495,discovery_tumor_RCC,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,2/12,35/18870,0.00021802471656017893,0.02978630300074578,0.020422147651247356,B2M/CTSL,2.0,,
GO:0002504,discovery_tumor_RCC,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,2/12,37/18870,0.0002438687131428886,0.02978630300074578,0.020422147651247356,B2M/CTSL,2.0,,
GO:0002478,discovery_tumor_RCC,GO:0002478,antigen processing and presentation of exogenous peptide antigen,2/12,40/18870,0.0002853094157159557,0.02978630300074578,0.020422147651247356,B2M/CTSL,2.0,,
GO:0019884,discovery_tumor_RCC,GO:0019884,antigen processing and presentation of exogenous antigen,2/12,49/18870,0.00042879310741441364,0.03730500034505398,0.02557713272296502,B2M/CTSL,2.0,,
hsa05146,discovery_tumor_SARC,hsa05146,Amoebiasis,5/17,103/8843,1.0767198304528602e-06,5.921959067490731e-05,4.533557180854149e-05,ACTN1/C8B/C9/LAMB3/VCL,5.0,Human Diseases,Infectious disease: parasitic
hsa04510,discovery_tumor_SARC,hsa04510,Focal adhesion,5/17,203/8843,2.99917676474087e-05,0.0008247736103037393,0.0006314056346822885,ACTN1/LAMB3/TNC/TNXB/VCL,5.0,Cellular Processes,Cellular community - eukaryotes
hsa04610,discovery_tumor_SARC,hsa04610,Complement and coagulation cascades,3/17,88/8843,0.0005854180176491122,0.008320391614561882,0.006369677791052159,C8B/C9/SERPIND1,3.0,Organismal Systems,Immune system
hsa04512,discovery_tumor_SARC,hsa04512,ECM-receptor interaction,3/17,89/8843,0.0006051193901499551,0.008320391614561882,0.006369677791052159,LAMB3/TNC/TNXB,3.0,Environmental Information Processing,Signaling molecules and interaction
hsa04810,discovery_tumor_SARC,hsa04810,Regulation of actin cytoskeleton,4/17,230/8843,0.0008125978554283378,0.008938576409711716,0.006842929308870214,ACTN1/C8B/C9/VCL,4.0,Cellular Processes,Cell motility
hsa04670,discovery_tumor_SARC,hsa04670,Leukocyte transendothelial migration,3/17,116/8843,0.0013078591542864503,0.01198870891429246,0.009177958977448776,ACTN1/VCAM1/VCL,3.0,Organismal Systems,Immune system
hsa05322,discovery_tumor_SARC,hsa05322,Systemic lupus erythematosus,3/17,139/8843,0.002199026365812363,0.01727806430281142,0.013227226260525492,ACTN1/C8B/C9,3.0,Human Diseases,Immune disease
R-HSA-1474244,discovery_tumor_SARC,R-HSA-1474244,Extracellular matrix organization,6/25,300/11009,4.454044363363752e-05,0.0043486524746492805,0.003383390941374726,ACTN1/LAMB3/NID1/TNC/TNXB/VCAM1,6.0,,
R-HSA-6785807,discovery_tumor_SARC,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,4/25,108/11009,9.453592336194088e-05,0.0043486524746492805,0.003383390941374726,HSPA8/LBP/SAA1/VCAM1,4.0,,
R-HSA-8957275,discovery_tumor_SARC,R-HSA-8957275,Post-translational protein phosphorylation,4/25,108/11009,9.453592336194088e-05,0.0043486524746492805,0.003383390941374726,ANO8/SERPINA10/SERPIND1/TNC,4.0,,
R-HSA-381426,discovery_tumor_SARC,R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),4/25,125/11009,0.00016657075074578758,0.005006714658259596,0.003895384402307237,ANO8/SERPINA10/SERPIND1/TNC,4.0,,
R-HSA-114608,discovery_tumor_SARC,R-HSA-114608,Platelet degranulation,4/25,129/11009,0.0001880697168565897,0.005006714658259596,0.003895384402307237,ACTN1/ISLR/SERPINA3/VCL,4.0,,
R-HSA-76005,discovery_tumor_SARC,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,4/25,134/11009,0.0002176832460112868,0.005006714658259596,0.003895384402307237,ACTN1/ISLR/SERPINA3/VCL,4.0,,
R-HSA-166658,discovery_tumor_SARC,R-HSA-166658,Complement cascade,3/25,58/11009,0.0002939574033060258,0.005334416884071996,0.004150347232458761,C8B/C9/CRP,3.0,,
R-HSA-3000171,discovery_tumor_SARC,R-HSA-3000171,Non-integrin membrane-ECM interactions,3/25,59/11009,0.0003092415584969273,0.005334416884071996,0.004150347232458761,ACTN1/LAMB3/TNC,3.0,,
R-HSA-449147,discovery_tumor_SARC,R-HSA-449147,Signaling by Interleukins,6/25,473/11009,0.000536975423436702,0.008233623159362765,0.006406022595385216,HNRNPA2B1/HSPA8/LBP/MIF/SAA1/VCAM1,6.0,,
R-HSA-3000170,discovery_tumor_SARC,R-HSA-3000170,Syndecan interactions,2/25,27/11009,0.0016783637829243206,0.023161420204355625,0.0180203269324506,ACTN1/TNC,2.0,,
R-HSA-3000157,discovery_tumor_SARC,R-HSA-3000157,Laminin interactions,2/25,30/11009,0.0020713670705969625,0.025986241431125528,0.02021812834458279,LAMB3/NID1,2.0,,
R-HSA-76002,discovery_tumor_SARC,R-HSA-76002,"Platelet activation, signaling and aggregation",4/25,263/11009,0.002711213990492132,0.031178960890659517,0.024258230441245393,ACTN1/ISLR/SERPINA3/VCL,4.0,,
R-HSA-8950505,discovery_tumor_SARC,R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,2/25,38/11009,0.003310520259143305,0.035142445827828925,0.027341948698997337,HNRNPA2B1/MIF,2.0,,
R-HSA-6798695,discovery_tumor_SARC,R-HSA-6798695,Neutrophil degranulation,5/25,480/11009,0.003973025008529714,0.03916267508407861,0.030469815854889535,HSPA8/MIF/MPO/SERPINA3/VCL,5.0,,
R-HSA-9020591,discovery_tumor_SARC,R-HSA-9020591,Interleukin-12 signaling,2/25,47/11009,0.005027377011276697,0.043361126722261514,0.033736345733567305,HNRNPA2B1/MIF,2.0,,
R-HSA-977606,discovery_tumor_SARC,R-HSA-977606,Regulation of Complement cascade,2/25,47/11009,0.005027377011276697,0.043361126722261514,0.033736345733567305,C8B/C9,2.0,,
GO:0006953,discovery_tumor_SARC,GO:0006953,acute-phase response,5/28,48/18870,8.083668967584506e-09,6.539688194775866e-06,4.6544915002828685e-06,CRP/LBP/SAA1/SAA2/SERPINA3,5.0,,
GO:0002526,discovery_tumor_SARC,GO:0002526,acute inflammatory response,5/28,107/18870,4.7262801612188917e-07,0.00019117803252130416,0.00013606711832561756,CRP/LBP/SAA1/SAA2/SERPINA3,5.0,,
GO:0007160,discovery_tumor_SARC,GO:0007160,cell-matrix adhesion,5/28,239/18870,2.4212943669270955e-05,0.0065294238094800675,0.004647186030558319,ACTN1/NID1/TNXB/VCAM1/VCL,5.0,,
GO:0031589,discovery_tumor_SARC,GO:0031589,cell-substrate adhesion,5/28,356/18870,0.00015975905313045505,0.028770363350169754,0.020476727281950238,ACTN1/NID1/TNXB/VCAM1/VCL,5.0,,
GO:0002679,discovery_tumor_SARC,GO:0002679,respiratory burst involved in defense response,2/28,16/18870,0.0002515340853867101,0.028770363350169754,0.020476727281950238,LBP/MPO,2.0,,
GO:0008228,discovery_tumor_SARC,GO:0008228,opsonization,2/28,17/18870,0.00028481035505147984,0.028770363350169754,0.020476727281950238,CRP/LBP,2.0,,
GO:0007596,discovery_tumor_SARC,GO:0007596,blood coagulation,4/28,224/18870,0.00031643190936638514,0.028770363350169754,0.020476727281950238,SAA1/SERPINA10/SERPIND1/VCL,4.0,,
GO:0006957,discovery_tumor_SARC,GO:0006957,"complement activation, alternative pathway",2/28,18/18870,0.00032011763238345807,0.028770363350169754,0.020476727281950238,C8B/C9,2.0,,
GO:0050817,discovery_tumor_SARC,GO:0050817,coagulation,4/28,229/18870,0.0003440929063349418,0.028770363350169754,0.020476727281950238,SAA1/SERPINA10/SERPIND1/VCL,4.0,,
GO:0007599,discovery_tumor_SARC,GO:0007599,hemostasis,4/28,231/18870,0.00035562871879072624,0.028770363350169754,0.020476727281950238,SAA1/SERPINA10/SERPIND1/VCL,4.0,,
GO:0097305,discovery_tumor_SARC,GO:0097305,response to alcohol,4/28,254/18870,0.0005090315092381926,0.03573281362898577,0.025432111189974908,CRHBP/CSN1S1/TNC/VCAM1,4.0,,
GO:0006935,discovery_tumor_SARC,GO:0006935,chemotaxis,5/28,468/18870,0.0005631849250444058,0.03573281362898577,0.025432111189974908,LBP/MIF/SAA1/SERPIND1/VCAM1,5.0,,
GO:0042330,discovery_tumor_SARC,GO:0042330,taxis,5/28,470/18870,0.0005741984884756674,0.03573281362898577,0.025432111189974908,LBP/MIF/SAA1/SERPIND1/VCAM1,5.0,,
GO:0045471,discovery_tumor_SARC,GO:0045471,response to ethanol,3/28,121/18870,0.0007494295485223018,0.04330632176818158,0.03082240323621798,CRHBP/TNC/VCAM1,3.0,,
GO:0006910,discovery_tumor_SARC,GO:0006910,"phagocytosis, recognition",2/28,29/18870,0.0008409312346844475,0.04460839623703277,0.03174912854291448,CRP/LBP,2.0,,
GO:0010951,discovery_tumor_SARC,GO:0010951,negative regulation of endopeptidase activity,3/28,128/18870,0.0008822426944283367,0.04460839623703277,0.03174912854291448,SERPINA10/SERPINA3/SERPIND1,3.0,,
GO:0010466,discovery_tumor_SARC,GO:0010466,negative regulation of peptidase activity,3/28,137/18870,0.0010738003747330278,0.04639488764931728,0.033020627863088355,SERPINA10/SERPINA3/SERPIND1,3.0,,
GO:0034368,discovery_tumor_SARC,GO:0034368,protein-lipid complex remodeling,2/28,33/18870,0.0010896203527033725,0.04639488764931728,0.033020627863088355,MPO/PLTP,2.0,,
GO:0034369,discovery_tumor_SARC,GO:0034369,plasma lipoprotein particle remodeling,2/28,33/18870,0.0010896203527033725,0.04639488764931728,0.033020627863088355,MPO/PLTP,2.0,,
GO:0034367,discovery_tumor_SARC,GO:0034367,protein-containing complex remodeling,2/28,35/18870,0.0012256369625762412,0.049151849508724074,0.03498283999905285,MPO/PLTP,2.0,,
GO:0060326,discovery_tumor_SARC,GO:0060326,cell chemotaxis,4/28,325/18870,0.0012758823729087832,0.049151849508724074,0.03498283999905285,LBP/MIF/SAA1/VCAM1,4.0,,
HALLMARK_ANDROGEN_RESPONSE,discovery_tumor_STAD,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,1/1,100/4383,0.02281542322610075,0.02281542322610075,-2147483648.0,AZGP1,1.0,,
hsa04970,discovery_tumor_STAD,hsa04970,Salivary secretion,1/1,97/8843,0.010969128123939798,0.010969128123939798,-2147483648.0,LYZ,1.0,Organismal Systems,Digestive system
R-HSA-5223345,discovery_tumor_STAD,R-HSA-5223345,Miscellaneous transport and binding events,1/2,26/11009,0.004718044512206698,0.018872178048826793,0.004966362644428103,AZGP1,1.0,,
R-HSA-6803157,discovery_tumor_STAD,R-HSA-6803157,Antimicrobial peptides,1/2,95/11009,0.017184918866593568,0.02651294906000127,0.006977091857895071,LYZ,1.0,,
R-HSA-977225,discovery_tumor_STAD,R-HSA-977225,Amyloid fiber formation,1/2,110/11009,0.019884711795000953,0.02651294906000127,0.006977091857895071,LYZ,1.0,,
GO:0001895,discovery_tumor_STAD,GO:0001895,retina homeostasis,2/2,83/18870,1.9114861698246242e-05,0.00034406751056843235,2.0120907050785515e-05,AZGP1/LYZ,2.0,,
GO:0001894,discovery_tumor_STAD,GO:0001894,tissue homeostasis,2/2,279/18870,0.00021783527814272277,0.0013070116688563365,7.643343092727115e-05,AZGP1/LYZ,2.0,,
GO:0060249,discovery_tumor_STAD,GO:0060249,anatomical structure homeostasis,2/2,279/18870,0.00021783527814272277,0.0013070116688563365,7.643343092727115e-05,AZGP1/LYZ,2.0,,
GO:0001580,discovery_tumor_STAD,GO:0001580,detection of chemical stimulus involved in sensory perception of bitter taste,1/2,39/18870,0.004129383067136505,0.014291743399243662,0.000835774467792027,AZGP1,1.0,,
GO:0050913,discovery_tumor_STAD,GO:0050913,sensory perception of bitter taste,1/2,44/18870,0.004658173275856159,0.014291743399243662,0.000835774467792027,AZGP1,1.0,,
GO:0050912,discovery_tumor_STAD,GO:0050912,detection of chemical stimulus involved in sensory perception of taste,1/2,45/18870,0.004763914466414554,0.014291743399243662,0.000835774467792027,AZGP1,1.0,,
GO:0050909,discovery_tumor_STAD,GO:0050909,sensory perception of taste,1/2,66/18870,0.006983181926833781,0.015698396129417425,0.0009180348613694399,AZGP1,1.0,,
GO:0071806,discovery_tumor_STAD,GO:0071806,protein transmembrane transport,1/2,67/18870,0.0070887995420299,0.015698396129417425,0.0009180348613694399,AZGP1,1.0,,
GO:0050829,discovery_tumor_STAD,GO:0050829,defense response to Gram-negative bacterium,1/2,89/18870,0.009410965959678053,0.015698396129417425,0.0009180348613694399,LYZ,1.0,,
GO:0031640,discovery_tumor_STAD,GO:0031640,killing of cells of another organism,1/2,92/18870,0.009727414376808241,0.015698396129417425,0.0009180348613694399,LYZ,1.0,,
GO:0141061,discovery_tumor_STAD,GO:0141061,disruption of cell in another organism,1/2,92/18870,0.009727414376808241,0.015698396129417425,0.0009180348613694399,LYZ,1.0,,
GO:0141060,discovery_tumor_STAD,GO:0141060,disruption of anatomical structure in another organism,1/2,99/18870,0.010465597419611616,0.015698396129417425,0.0009180348613694399,LYZ,1.0,,
GO:0050830,discovery_tumor_STAD,GO:0050830,defense response to Gram-positive bacterium,1/2,118/18870,0.012467849692927913,0.017263176497900184,0.0010095424852573209,LYZ,1.0,,
GO:0019730,discovery_tumor_STAD,GO:0019730,antimicrobial humoral response,1/2,133/18870,0.014047142821073444,0.018060612198523,0.0010561761519604093,LYZ,1.0,,
GO:0001906,discovery_tumor_STAD,GO:0001906,cell killing,1/2,223/18870,0.023496360972395602,0.02819563316687472,0.0016488674366593405,LYZ,1.0,,
GO:0006959,discovery_tumor_STAD,GO:0006959,humoral immune response,1/2,258/18870,0.027158769597191768,0.03055361579684074,0.0017867611577099846,LYZ,1.0,,
GO:0042742,discovery_tumor_STAD,GO:0042742,defense response to bacterium,1/2,330/18870,0.034671230417131826,0.03671071455931605,0.0021468254128254997,LYZ,1.0,,
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,discovery_tumor_TGCT,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,4/33,49/4383,0.00044463940010959783,0.009776554666085504,0.00908039133072957,CAT/PRDX2/PRDX6/SOD1,4.0,,
HALLMARK_HEME_METABOLISM,discovery_tumor_TGCT,HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,7/33,200/4383,0.0005750914509462062,0.009776554666085504,0.00908039133072957,BLVRB/CA1/CA2/CAT/HBB/PRDX2/SLC4A1,7.0,,
hsa05143,discovery_tumor_TGCT,hsa05143,African trypanosomiasis,4/39,37/8843,1.9215233664483e-05,0.002132890936757613,0.0018810702429441252,APOL1/HBA1/HBB/HPR,4.0,Human Diseases,Infectious disease: parasitic
