Protein cluster,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,category,subcategory
2,GO:0062013,GO:0062013,positive regulation of small molecule metabolic process,3/33,147/18870,0.0021293551902945933,0.014250300119663818,0.00935364526910783,APOC2/APOE/GPLD1,3,,
2,GO:0045922,GO:0045922,negative regulation of fatty acid metabolic process,2/33,42/18870,0.0024442433798641163,0.016150570180874287,0.0106009489692974,APOC1/APOC3,2,,
2,GO:0071634,GO:0071634,regulation of transforming growth factor beta production,2/33,42/18870,0.0024442433798641163,0.016150570180874287,0.0106009489692974,FN1/SERPINF2,2,,
2,GO:0045807,GO:0045807,positive regulation of endocytosis,3/33,155/18870,0.002475325125668859,0.016253078183637037,0.010668233411522194,APOE/CLU/COLEC11,3,,
2,GO:0010712,GO:0010712,regulation of collagen metabolic process,2/33,43/18870,0.00256067796397812,0.016708423714957232,0.010967114174669449,F2/SERPINF2,2,,
2,GO:0006509,GO:0006509,membrane protein ectodomain proteolysis,2/33,44/18870,0.002679688517526213,0.017376365293772462,0.011405539227914773,APOE/GPLD1,2,,
2,GO:0071604,GO:0071604,transforming growth factor beta production,2/33,45/18870,0.0028012662311449384,0.018052604600711827,0.011849410763322644,FN1/SERPINF2,2,,
2,GO:1902904,GO:1902904,negative regulation of supramolecular fiber organization,3/33,167/18870,0.0030564498558119397,0.019576280058083834,0.01284952441804051,APOE/CLU/GSN,3,,
2,GO:0006633,GO:0006633,fatty acid biosynthetic process,3/33,168/18870,0.003108334779848441,0.019578962847376074,0.01285128535354086,APOC1/APOC2/APOC3,3,,
2,GO:0045862,GO:0045862,positive regulation of proteolysis,4/33,350/18870,0.003113130107916119,0.019578962847376074,0.01285128535354086,APOE/CLU/GPLD1/GSN,4,,
2,GO:0051235,GO:0051235,maintenance of location,4/33,350/18870,0.003113130107916119,0.019578962847376074,0.01285128535354086,APOC4/APOE/F2/GSN,4,,
2,GO:0032964,GO:0032964,collagen biosynthetic process,2/33,48/18870,0.0031813145582946507,0.019769597612259614,0.01297641464567555,F2/SERPINF2,2,,
2,GO:1902003,GO:1902003,regulation of amyloid-beta formation,2/33,48/18870,0.0031813145582946507,0.019769597612259614,0.01297641464567555,APOE/CLU,2,,
2,GO:0007009,GO:0007009,plasma membrane organization,3/33,170/18870,0.003213729149401927,0.019852859360802434,0.013031066186612608,CLU/GSN/SERPINA5,3,,
2,GO:0010543,GO:0010543,regulation of platelet activation,2/33,49/18870,0.0033130732442590762,0.02022718401758173,0.013276766278932955,APOE/F2,2,,
2,GO:0035987,GO:0035987,endodermal cell differentiation,2/33,49/18870,0.0033130732442590762,0.02022718401758173,0.013276766278932955,COL6A1/FN1,2,,
2,GO:0009395,GO:0009395,phospholipid catabolic process,2/33,54/18870,0.004009544829467391,0.024196328335051767,0.01588204249457421,APOC1/APOC2,2,,
2,GO:0010874,GO:0010874,regulation of cholesterol efflux,2/33,54/18870,0.004009544829467391,0.024196328335051767,0.01588204249457421,APOE/PON1,2,,
2,GO:1902991,GO:1902991,regulation of amyloid precursor protein catabolic process,2/33,55/18870,0.004156314296998329,0.024937885781989973,0.01636878770324206,APOE/CLU,2,,
2,GO:0034205,GO:0034205,amyloid-beta formation,2/33,56/18870,0.0043055554189317434,0.025685713470655656,0.016859648587816935,APOE/CLU,2,,
2,GO:0043113,GO:0043113,receptor clustering,2/33,57/18870,0.004457259638829322,0.026439653766692113,0.017354521679891675,APOE/GSN,2,,
2,GO:1902903,GO:1902903,regulation of supramolecular fiber organization,4/33,389/18870,0.004536477461524294,0.026757528078143297,0.017563168762725637,APOE/CLU/GSN/SERPINF2,4,,
2,GO:0001706,GO:0001706,endoderm formation,2/33,58/18870,0.004611418421047378,0.027046746244794733,0.017753006458319596,COL6A1/FN1,2,,
2,GO:0031638,GO:0031638,zymogen activation,2/33,59/18870,0.004768023250693789,0.027654534854023978,0.018151948164921973,F9/SERPINF2,2,,
2,GO:0033619,GO:0033619,membrane protein proteolysis,2/33,59/18870,0.004768023250693789,0.027654534854023978,0.018151948164921973,APOE/GPLD1,2,,
2,GO:0031330,GO:0031330,negative regulation of cellular catabolic process,3/33,208/18870,0.0056457328840755746,0.032564337740192816,0.02137465604846292,APOC1/APOC3/GPLD1,3,,
2,GO:0050435,GO:0050435,amyloid-beta metabolic process,2/33,65/18870,0.005758544994483955,0.03303253282550137,0.02168197103186267,APOE/CLU,2,,
2,GO:0045732,GO:0045732,positive regulation of protein catabolic process,3/33,210/18870,0.0057972305591395415,0.03307272515705837,0.021708352568305098,APOE/CLU/GPLD1,3,,
2,GO:0043254,GO:0043254,regulation of protein-containing complex assembly,4/33,419/18870,0.005892526783849351,0.03343368457792784,0.021945279955869156,APOE/CLU/GSN/LCAT,4,,
2,GO:0006956,GO:0006956,complement activation,2/33,67/18870,0.006107904622258821,0.034283077557194674,0.022502806503058817,CLU/COLEC11,2,,
2,GO:0070613,GO:0070613,regulation of protein processing,2/33,67/18870,0.006107904622258821,0.034283077557194674,0.022502806503058817,GSN/SERPINF2,2,,
2,GO:0042987,GO:0042987,amyloid precursor protein catabolic process,2/33,68/18870,0.006286144111398663,0.035094836643316606,0.023035630827585307,APOE/CLU,2,,
2,GO:1903317,GO:1903317,regulation of protein maturation,2/33,71/18870,0.006835001623809746,0.037792204146052506,0.024806135207784012,GSN/SERPINF2,2,,
2,GO:0001906,GO:0001906,cell killing,3/33,223/18870,0.006841692129888816,0.037792204146052506,0.024806135207784012,APOL1/CAMP/F2,3,,
2,GO:0042180,GO:0042180,cellular ketone metabolic process,3/33,226/18870,0.0070976048578068026,0.03879528519136284,0.025464539886647722,APOC1/APOC2/APOC3,3,,
2,GO:0072330,GO:0072330,monocarboxylic acid biosynthetic process,3/33,226/18870,0.0070976048578068026,0.03879528519136284,0.025464539886647722,APOC1/APOC2/APOC3,3,,
2,GO:0051651,GO:0051651,maintenance of location in cell,3/33,237/18870,0.008084517092046554,0.043959561688003135,0.028854279752863525,APOE/F2/GSN,3,,
2,GO:0002274,GO:0002274,myeloid leukocyte activation,3/33,241/18870,0.008462512440869827,0.04577649216719222,0.030046880823595627,CAMP/CLU/FN1,3,,
2,GO:0051051,GO:0051051,negative regulation of transport,4/33,469/18870,0.008714168902714394,0.04689480584759705,0.030780922168567936,APOC1/APOC2/APOC3/APOE,4,,
2,GO:0007492,GO:0007492,endoderm development,2/33,83/18870,0.009238574665034315,0.04895975609287221,0.03213631903252653,COL6A1/FN1,2,,
2,GO:0035023,GO:0035023,regulation of Rho protein signal transduction,2/33,83/18870,0.009238574665034315,0.04895975609287221,0.03213631903252653,APOC3/APOE,2,,
2,GO:0061844,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,2/33,83/18870,0.009238574665034315,0.04895975609287221,0.03213631903252653,CAMP/F2,2,,
2,GO:0032024,GO:0032024,positive regulation of insulin secretion,2/33,84/18870,0.009453623166174778,0.0498463766943761,0.032718281133332174,F2/GPLD1,2,,
2,GO:0032102,GO:0032102,negative regulation of response to external stimulus,4/33,481/18870,0.009503403031267923,0.049857049068561365,0.03272528629122147,APOE/F2/PROC/SERPINF2,4,,
3,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,5/15,200/4383,0.00038850413379800205,0.005827562006970031,0.004907420637448447,ACTA1/ACTB/MSN/PFN1/VCL,5,,
3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4/15,200/4383,0.0038610024097927094,0.02464435331351787,0.0207531396324361,ACTA2/FLNA/THBS1/TPM2,4,,
3,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,3/15,105/4383,0.004928870662703574,0.02464435331351787,0.0207531396324361,CALR/CFL1/PFN1,3,,
3,hsa04810,hsa04810,Regulation of actin cytoskeleton,6/18,230/8843,4.143655212820573e-06,0.00034392338266410753,0.0002704280244156584,ACTB/CFL1/MSN/PFN1/TMSB4X/VCL,6,Cellular Processes,Cell motility
3,hsa04820,hsa04820,Cytoskeleton in muscle cells,5/18,232/8843,7.712874898770279e-05,0.0032008430829896656,0.0025168328617039856,ACTA1/ACTB/THBS1/TPM2/VCL,5,,
3,hsa04141,hsa04141,Protein processing in endoplasmic reticulum,4/18,170/8843,0.0003267896684211361,0.0077393452652637015,0.006085471229503481,CALR/HSPA8/P4HB/PDIA3,4,Genetic Information Processing,"Folding, sorting and degradation"
3,hsa04612,hsa04612,Antigen processing and presentation,3/18,80/8843,0.0005275440342220342,0.0077393452652637015,0.006085471229503481,CALR/HSPA8/PDIA3,3,Organismal Systems,Immune system
3,hsa04814,hsa04814,Motor proteins,4/18,197/8843,0.0005721281309530645,0.0077393452652637015,0.006085471229503481,ACTA1/ACTA2/ACTB/TPM2,4,Cellular Processes,Cell motility
3,hsa04510,hsa04510,Focal adhesion,4/18,203/8843,0.0006407357163304494,0.0077393452652637015,0.006085471229503481,ACTB/FLNA/THBS1/VCL,4,Cellular Processes,Cellular community - eukaryotes
3,hsa05205,hsa05205,Proteoglycans in cancer,4/18,204/8843,0.0006527158657451314,0.0077393452652637015,0.006085471229503481,ACTB/FLNA/MSN/THBS1,4,Human Diseases,Cancer: overview
3,hsa04670,hsa04670,Leukocyte transendothelial migration,3/18,116/8843,0.0015545038955372475,0.01612797791619894,0.01268147914780386,ACTB/MSN/VCL,3,Organismal Systems,Immune system
3,hsa04145,hsa04145,Phagosome,3/18,157/8843,0.0036830274381321466,0.03396569748499646,0.026707333469496268,ACTB/CALR/THBS1,3,Cellular Processes,Transport and catabolism
3,R-HSA-114608,R-HSA-114608,Platelet degranulation,8/19,129/11009,1.9372445978404343e-11,2.465052226402369e-09,1.6096034802289606e-09,CFL1/FLNA/PFN1/PPBP/TAGLN2/THBS1/TMSB4X/VCL,8,,
3,R-HSA-76005,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,8/19,134/11009,2.6364194934784697e-11,2.465052226402369e-09,1.6096034802289606e-09,CFL1/FLNA/PFN1/PPBP/TAGLN2/THBS1/TMSB4X/VCL,8,,
3,R-HSA-76002,R-HSA-76002,"Platelet activation, signaling and aggregation",8/19,263/11009,5.742975798859474e-09,3.579788247955739e-07,2.3374919040971893e-07,CFL1/FLNA/PFN1/PPBP/TAGLN2/THBS1/TMSB4X/VCL,8,,
3,R-HSA-445355,R-HSA-445355,Smooth Muscle Contraction,3/19,45/11009,5.9079090361441496e-05,0.002519372820654103,0.0016450731618118546,ACTA2/TPM2/VCL,3,,
3,R-HSA-9020591,R-HSA-9020591,Interleukin-12 signaling,3/19,47/11009,6.736290964315783e-05,0.002519372820654103,0.0016450731618118546,CFL1/MSN/P4HB,3,,
3,R-HSA-447115,R-HSA-447115,Interleukin-12 family signaling,3/19,57/11009,0.00012023769821505482,0.0037474082610358755,0.0024469426303414667,CFL1/MSN/P4HB,3,,
3,R-HSA-195258,R-HSA-195258,RHO GTPase Effectors,5/19,326/11009,0.00018233681621976063,0.004870997804727891,0.0031806121325552235,ACTB/CFL1/FLNA/PFN1/YWHAQ,5,,
3,R-HSA-397014,R-HSA-397014,Muscle contraction,4/19,205/11009,0.0003633671760598647,0.008493707740399337,0.005546130581966356,ACTA1/ACTA2/TPM2/VCL,4,,
3,R-HSA-446353,R-HSA-446353,Cell-extracellular matrix interactions,2/19,18/11009,0.000424723322223583,0.008824806806201114,0.005762328114378437,ACTB/FLNA,2,,
3,R-HSA-901042,R-HSA-901042,Calnexin/calreticulin cycle,2/19,26/11009,0.0008947941025724153,0.016732649718104165,0.010925906936673703,CALR/PDIA3,2,,
3,R-HSA-373760,R-HSA-373760,L1CAM interactions,3/19,119/11009,0.0010516220958438386,0.017365448586512226,0.011339105184550622,ACTB/HSPA8/MSN,3,,
3,R-HSA-983170,R-HSA-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",2/19,29/11009,0.0011143603371023888,0.017365448586512226,0.011339105184550622,CALR/PDIA3,2,,
3,R-HSA-532668,R-HSA-532668,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,2/19,35/11009,0.001623069258642776,0.021402499405478476,0.013975175519479334,CALR/PDIA3,2,,
3,R-HSA-390522,R-HSA-390522,Striated Muscle Contraction,2/19,36/11009,0.0017167780271774178,0.021402499405478476,0.013975175519479334,ACTA1/TPM2,2,,
3,R-HSA-6802948,R-HSA-6802948,Signaling by high-kinase activity BRAF mutants,2/19,36/11009,0.0017167780271774178,0.021402499405478476,0.013975175519479334,ACTB/VCL,2,,
3,R-HSA-8950505,R-HSA-8950505,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,2/19,38/11009,0.0019117716913848112,0.022343831643059982,0.014589836592147245,CFL1/MSN,2,,
3,R-HSA-5674135,R-HSA-5674135,MAP2K and MAPK activation,2/19,40/11009,0.0021168131333286827,0.022694474245311205,0.01481879545429834,ACTB/VCL,2,,
3,R-HSA-3928662,R-HSA-3928662,EPHB-mediated forward signaling,2/19,42/11009,0.002331838131973606,0.022694474245311205,0.01481879545429834,ACTB/CFL1,2,,
3,R-HSA-9656223,R-HSA-9656223,Signaling by RAF1 mutants,2/19,43/11009,0.0024430744736015685,0.022694474245311205,0.01481879545429834,ACTB/VCL,2,,
3,R-HSA-437239,R-HSA-437239,Recycling pathway of L1,2/19,47/11009,0.0029126597961896734,0.022694474245311205,0.01481879545429834,ACTB/MSN,2,,
3,R-HSA-6802946,R-HSA-6802946,Signaling by moderate kinase activity BRAF mutants,2/19,47/11009,0.0029126597961896734,0.022694474245311205,0.01481879545429834,ACTB/VCL,2,,
3,R-HSA-6802949,R-HSA-6802949,Signaling by RAS mutants,2/19,47/11009,0.0029126597961896734,0.022694474245311205,0.01481879545429834,ACTB/VCL,2,,
3,R-HSA-6802955,R-HSA-6802955,Paradoxical activation of RAF signaling by kinase inactive BRAF,2/19,47/11009,0.0029126597961896734,0.022694474245311205,0.01481879545429834,ACTB/VCL,2,,
3,R-HSA-9649948,R-HSA-9649948,Signaling downstream of RAS mutants,2/19,47/11009,0.0029126597961896734,0.022694474245311205,0.01481879545429834,ACTB/VCL,2,,
3,R-HSA-9662361,R-HSA-9662361,Sensory processing of sound by outer hair cells of the cochlea,2/19,54/11009,0.0038280820582995115,0.02748526628134021,0.017947035680469826,ACTB/MSN,2,,
3,R-HSA-9700206,R-HSA-9700206,Signaling by ALK in cancer,2/19,55/11009,0.003968460906931474,0.02748526628134021,0.017947035680469826,MSN/VCL,2,,
3,R-HSA-9725370,R-HSA-9725370,Signaling by ALK fusions and activated point mutants,2/19,55/11009,0.003968460906931474,0.02748526628134021,0.017947035680469826,MSN/VCL,2,,
3,R-HSA-2029482,R-HSA-2029482,Regulation of actin dynamics for phagocytic cup formation,2/19,61/11009,0.0048603957278773174,0.03246050003975209,0.02119571069299883,ACTB/CFL1,2,,
3,R-HSA-6802952,R-HSA-6802952,Signaling by BRAF and RAF1 fusions,2/19,67/11009,0.00583626771494754,0.03763386423086862,0.024573758799779116,ACTB/VCL,2,,
3,R-HSA-9662360,R-HSA-9662360,Sensory processing of sound by inner hair cells of the cochlea,2/19,69/11009,0.006179926952966546,0.03852154467349147,0.02515338689628489,ACTB/MSN,2,,
3,R-HSA-1445148,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,2/19,72/11009,0.00671242903927563,0.040491104204662676,0.02643944884740147,ACTB/YWHAQ,2,,
3,R-HSA-9659379,R-HSA-9659379,Sensory processing of sound,2/19,76/11009,0.0074538758774415305,0.04355858715879894,0.028442421111290053,ACTB/MSN,2,,
3,R-HSA-449147,R-HSA-449147,Signaling by Interleukins,4/19,473/11009,0.007796578147668144,0.044180609503452824,0.028848582619760917,CFL1/HSPA8/MSN/P4HB,4,,
3,R-HSA-6798695,R-HSA-6798695,Neutrophil degranulation,4/19,480/11009,0.008206311045811845,0.045134710751965144,0.029471581464835108,HSPA8/PKM/PPBP/VCL,4,,
3,R-HSA-6802957,R-HSA-6802957,Oncogenic MAPK signaling,2/19,84/11009,0.009042800627475313,0.04831439192393953,0.031547815722921396,ACTB/VCL,2,,
3,R-HSA-2029480,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,2/19,86/11009,0.009461779354026633,0.04914868720008279,0.03209258494348215,ACTB/CFL1,2,,
3,GO:0034975,GO:0034975,protein folding in endoplasmic reticulum,3/20,11/18870,1.6708778864751835e-07,0.00015978558804088233,9.47805730097226e-05,CALR/P4HB/PDIA3,3,,
3,GO:0007015,GO:0007015,actin filament organization,7/20,464/18870,3.0522557409910664e-07,0.00015978558804088233,9.47805730097226e-05,ACTA1/CFL1/FLNA/PFN1/TAGLN2/TMSB4X/TPM2,7,,
3,GO:0070527,GO:0070527,platelet aggregation,4/20,72/18870,9.012148075639816e-07,0.0003145239678398296,0.0001865672759518418,ACTB/FLNA/PDIA3/VCL,4,,
3,GO:0150105,GO:0150105,protein localization to cell-cell junction,3/20,22/18870,1.5479329153938935e-06,0.000367831066748125,0.000218187633219116,ACTB/FLNA/VCL,3,,
3,GO:0090130,GO:0090130,tissue migration,6/20,380/18870,1.9569423534320453e-06,0.000367831066748125,0.000218187633219116,ACTA1/ACTA2/CALR/PFN1/THBS1/TMSB4X,6,,
3,GO:0010810,GO:0010810,regulation of cell-substrate adhesion,5/20,220/18870,2.766860035001929e-06,0.000367831066748125,0.000218187633219116,CALR/FLNA/P4HB/THBS1/VCL,5,,
3,GO:0034109,GO:0034109,homotypic cell-cell adhesion,4/20,96/18870,2.8629454143891756e-06,0.000367831066748125,0.000218187633219116,ACTB/FLNA/PDIA3/VCL,4,,
3,GO:0007596,GO:0007596,blood coagulation,5/20,224/18870,3.0221308221640085e-06,0.000367831066748125,0.000218187633219116,ACTB/FLNA/PDIA3/THBS1/VCL,5,,
3,GO:0050817,GO:0050817,coagulation,5/20,229/18870,3.366913573215447e-06,0.000367831066748125,0.000218187633219116,ACTB/FLNA/PDIA3/THBS1/VCL,5,,
3,GO:0007599,GO:0007599,hemostasis,5/20,231/18870,3.5131907043755967e-06,0.000367831066748125,0.000218187633219116,ACTB/FLNA/PDIA3/THBS1/VCL,5,,
3,GO:0050808,GO:0050808,synapse organization,6/20,483/18870,7.787228931697125e-06,0.00074120260831699,0.0004396617291580195,ACTB/ACTBL2/CFL1/FLNA/HSPA8/PFN1,6,,
3,GO:0030168,GO:0030168,platelet activation,4/20,133/18870,1.0469431045794994e-05,0.0009134578587456133,0.0005418389751771093,ACTB/FLNA/PDIA3/VCL,4,,
3,GO:1900026,GO:1900026,positive regulation of substrate adhesion-dependent cell spreading,3/20,42/18870,1.1384186998361611e-05,0.0009168649067142004,0.0005438599456707167,CALR/FLNA/P4HB,3,,
3,GO:0033574,GO:0033574,response to testosterone,3/20,45/18870,1.4043063752905034e-05,0.0010502205535208265,0.0006229629785123285,CALR/MSN/THBS1,3,,
3,GO:0031589,GO:0031589,cell-substrate adhesion,5/20,356/18870,2.8530681654765246e-05,0.0019802177861696,0.0011746126716333022,CALR/FLNA/P4HB/THBS1/VCL,5,,
3,GO:0010634,GO:0010634,positive regulation of epithelial cell migration,4/20,176/18870,3.153008937754087e-05,0.0019802177861696,0.0011746126716333022,CALR/PFN1/THBS1/TMSB4X,4,,
3,GO:0050878,GO:0050878,regulation of body fluid levels,5/20,365/18870,3.215253329979294e-05,0.0019802177861696,0.0011746126716333022,ACTB/FLNA/PDIA3/THBS1/VCL,5,,
3,GO:1900024,GO:1900024,regulation of substrate adhesion-dependent cell spreading,3/20,61/18870,3.523421551649994e-05,0.0020494568692097466,0.0012156834593412258,CALR/FLNA/P4HB,3,,
3,GO:0099173,GO:0099173,postsynapse organization,4/20,196/18870,4.800841870767911e-05,0.0026455165466810543,0.0015692502513867407,ACTB/ACTBL2/CFL1/HSPA8,4,,
3,GO:0042060,GO:0042060,wound healing,5/20,423/18870,6.489823495538524e-05,0.003368875649149226,0.0019983276861187784,ACTB/FLNA/PDIA3/THBS1/VCL,5,,
3,GO:0002064,GO:0002064,epithelial cell development,4/20,214/18870,6.757057175944006e-05,0.003368875649149226,0.0019983276861187784,ACTA2/FLNA/MSN/VCL,4,,
3,GO:0006457,GO:0006457,protein folding,4/20,223/18870,7.927883961789962e-05,0.0036062363128364304,0.002139123736564112,CALR/HSPA8/P4HB/PDIA3,4,,
3,GO:0034333,GO:0034333,adherens junction assembly,2/20,13/18870,8.266444270112162e-05,0.0036062363128364304,0.002139123736564112,ACTB/VCL,2,,
3,GO:0098761,GO:0098761,cellular response to interleukin-7,2/20,13/18870,8.266444270112162e-05,0.0036062363128364304,0.002139123736564112,P4HB/PDIA3,2,,
3,GO:0098760,GO:0098760,response to interleukin-7,2/20,14/18870,9.638053998149566e-05,0.004036417014425038,0.002394295519540313,P4HB/PDIA3,2,,
3,GO:0010763,GO:0010763,positive regulation of fibroblast migration,2/20,15/18870,0.00011113762104913214,0.004475426509170821,0.002654704308461051,ACTA2/THBS1,2,,
3,GO:0001667,GO:0001667,ameboidal-type cell migration,5/20,497/18870,0.00013877155427221267,0.005375848955611323,0.003188811022782567,ACTA2/CALR/PFN1/THBS1/TMSB4X,5,,
3,GO:0098974,GO:0098974,postsynaptic actin cytoskeleton organization,2/20,17/18870,0.00014376673424748522,0.005375848955611323,0.003188811022782567,ACTB/ACTBL2,2,,
3,GO:0034446,GO:0034446,substrate adhesion-dependent cell spreading,3/20,100/18870,0.00015418625122248642,0.005463573318715618,0.003240846788359941,CALR/FLNA/P4HB,3,,
3,GO:0034976,GO:0034976,response to endoplasmic reticulum stress,4/20,266/18870,0.00015654937875975985,0.005463573318715618,0.003240846788359941,CALR/P4HB/PDIA3/THBS1,4,,
3,GO:1902414,GO:1902414,protein localization to cell junction,3/20,108/18870,0.00019361984006923826,0.00617323060992118,0.003661796672048958,ACTB/FLNA/VCL,3,,
3,GO:0002396,GO:0002396,MHC protein complex assembly,2/20,20/18870,0.00020046785170708704,0.00617323060992118,0.003661796672048958,CALR/PDIA3,2,,
3,GO:0002501,GO:0002501,peptide antigen assembly with MHC protein complex,2/20,20/18870,0.00020046785170708704,0.00617323060992118,0.003661796672048958,CALR/PDIA3,2,,
3,GO:0099188,GO:0099188,postsynaptic cytoskeleton organization,2/20,20/18870,0.00020046785170708704,0.00617323060992118,0.003661796672048958,ACTB/ACTBL2,2,,
3,GO:0044794,GO:0044794,positive regulation by host of viral process,2/20,21/18870,0.0002214289145035113,0.006623887813862181,0.003929114573145012,CFL1/HSPA8,2,,
3,GO:0010632,GO:0010632,regulation of epithelial cell migration,4/20,295/18870,0.00023270237248024036,0.00670677926993296,0.003978283586447942,CALR/PFN1/THBS1/TMSB4X,4,,
3,GO:0019882,GO:0019882,antigen processing and presentation,3/20,116/18870,0.00023908332912418173,0.00670677926993296,0.003978283586447942,CALR/PDIA3/THBS1,3,,
3,GO:0051220,GO:0051220,cytoplasmic sequestering of protein,2/20,22/18870,0.0002434170126623233,0.00670677926993296,0.003978283586447942,FLNA/TMSB4X,2,,
3,GO:0010811,GO:0010811,positive regulation of cell-substrate adhesion,3/20,123/18870,0.0002841087603650548,0.007602957769355596,0.004509872903955966,CALR/FLNA/P4HB,3,,
3,GO:2001026,GO:2001026,regulation of endothelial cell chemotaxis,2/20,24/18870,0.00029046639042428255,0.007602957769355596,0.004509872903955966,THBS1/TMSB4X,2,,
3,GO:0071675,GO:0071675,regulation of mononuclear cell migration,3/20,125/18870,0.00029790938870933264,0.0076075885360651525,0.0045126197519513795,CALR/MSN/THBS1,3,,
3,GO:0010595,GO:0010595,positive regulation of endothelial cell migration,3/20,130/18870,0.00033428978414385053,0.00800716921265354,0.0047496404116680125,CALR/THBS1/TMSB4X,3,,
3,GO:0031647,GO:0031647,regulation of protein stability,4/20,325/18870,0.00033649994780969984,0.00800716921265354,0.0047496404116680125,CALR/FLNA/HSPA8/PFN1,4,,
3,GO:0060326,GO:0060326,cell chemotaxis,4/20,325/18870,0.00033649994780969984,0.00800716921265354,0.0047496404116680125,CALR/PPBP/THBS1/TMSB4X,4,,
3,GO:0048545,GO:0048545,response to steroid hormone,4/20,330/18870,0.0003565733303412736,0.008296272819273632,0.004921129003540384,ACTA1/CALR/HSPA8/THBS1,4,,
3,GO:0006936,GO:0006936,muscle contraction,4/20,351/18870,0.0004503775657658149,0.01025098502949583,0.006080612443977821,ACTA1/ACTA2/FLNA/TPM2,4,,
3,GO:0050921,GO:0050921,positive regulation of chemotaxis,3/20,145/18870,0.0004603041298047376,0.01025400901926724,0.006082406194508291,CALR/THBS1/TMSB4X,3,,
3,GO:0031333,GO:0031333,negative regulation of protein-containing complex assembly,3/20,147/18870,0.0004791038455918912,0.010410179363605967,0.006175042300836998,HSPA8/PFN1/TMSB4X,3,,
3,GO:0035767,GO:0035767,endothelial cell chemotaxis,2/20,31/18870,0.00048720037136264785,0.010410179363605967,0.006175042300836998,THBS1/TMSB4X,2,,
3,GO:0010631,GO:0010631,epithelial cell migration,4/20,372/18870,0.0005606858605375602,0.011740761919656511,0.006964308583519169,CALR/PFN1/THBS1/TMSB4X,4,,
3,GO:0090132,GO:0090132,epithelium migration,4/20,375/18870,0.0005778834691330858,0.011863607689849823,0.007037177436295575,CALR/PFN1/THBS1/TMSB4X,4,,
3,GO:0032970,GO:0032970,regulation of actin filament-based process,4/20,379/18870,0.0006013958130465064,0.012108873389609465,0.007182662544482566,ACTA2/FLNA/PFN1/TMSB4X,4,,
3,GO:0002474,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,2/20,36/18870,0.0006579841567160892,0.012857864805591592,0.0076269443877736275,CALR/PDIA3,2,,
3,GO:1902903,GO:1902903,regulation of supramolecular fiber organization,4/20,389/18870,0.0006631563510047239,0.012857864805591592,0.0076269443877736275,FLNA/HSPA8/PFN1/TMSB4X,4,,
3,GO:1902904,GO:1902904,negative regulation of supramolecular fiber organization,3/20,167/18870,0.0006947547261167197,0.013023097273035609,0.007724955905183741,HSPA8/PFN1/TMSB4X,3,,
3,GO:0050867,GO:0050867,positive regulation of cell activation,4/20,396/18870,0.0007089938343486434,0.013023097273035609,0.007724955905183741,ACTA2/ACTB/FLNA/THBS1,4,,
3,GO:0050900,GO:0050900,leukocyte migration,4/20,396/18870,0.0007089938343486434,0.013023097273035609,0.007724955905183741,CALR/MSN/PPBP/THBS1,4,,
3,GO:0035633,GO:0035633,maintenance of blood-brain barrier,2/20,38/18870,0.0007332944233994046,0.013237228643089254,0.007851972954730467,ACTB/VCL,2,,
3,GO:0010762,GO:0010762,regulation of fibroblast migration,2/20,39/18870,0.000772441088374746,0.013707556263192528,0.008130958824997326,ACTA2/THBS1,2,,
3,GO:0043254,GO:0043254,regulation of protein-containing complex assembly,4/20,419/18870,0.0008755120616784206,0.015277685476288438,0.009062317831408212,HSPA8/MSN/PFN1/TMSB4X,4,,
3,GO:0021762,GO:0021762,substantia nigra development,2/20,44/18870,0.000983012348389996,0.016600224657489126,0.009846812997454968,ACTB/YWHAQ,2,,
3,GO:0045022,GO:0045022,early endosome to late endosome transport,2/20,44/18870,0.000983012348389996,0.016600224657489126,0.009846812997454968,FLNA/MSN,2,,
3,GO:0009615,GO:0009615,response to virus,4/20,436/18870,0.0010152065634945382,0.016871766221885423,0.010007884251658772,ACTA2/CALR/CFL1/HSPA8,4,,
3,GO:0008154,GO:0008154,actin polymerization or depolymerization,3/20,196/18870,0.0011043510891575016,0.018066493599186002,0.010716564845442861,CFL1/PFN1/TMSB4X,3,,
